monthDay,selectedDate,selectedAF,selectedStatus,comparisonDate,comparisonAF,comparisonStatus,baselineMeanAF,baselineCount
01-07,2025-01-07,3549189,reported,2021-01-07,2057477,reported,2731790.6666666665,30
01-08,2025-01-08,3545134,reported,2021-01-08,2062365,reported,2735328.3666666667,30
01-09,2025-01-09,3538799,reported,2021-01-09,2066041,reported,2743695.1333333333,30
01-10,2025-01-10,3532217,reported,2021-01-10,2065339,reported,2756323,30
01-11,2025-01-11,3523392,reported,2021-01-11,2064987,reported,2766761.2333333334,30
01-12,2025-01-12,3513559,reported,2021-01-12,2067797,reported,2774700.2,30
01-13,2025-01-13,3502493,reported,2021-01-13,2073416,reported,2784220.4,30
01-14,2025-01-14,3491955,reported,2021-01-14,2076928,reported,2801844.566666667,30
01-15,2025-01-15,3481176,reported,2021-01-15,2078684,reported,2808176.2666666666,30
01-16,2025-01-16,3477681,reported,2021-01-16,2082022,reported,2818445.6,30
01-17,2025-01-17,3475934,reported,2021-01-17,2082552,reported,2829818,30
01-18,2025-01-18,3474686,reported,2021-01-18,2082552,reported,2842034.1,30
01-19,2025-01-19,3480177,reported,2021-01-19,2083965,reported,2855002.6333333333,30
01-20,2025-01-20,3483675,reported,2021-01-20,2085908,reported,2871260.966666667,30
01-21,2025-01-21,3481176,reported,2021-01-21,2087145,reported,2882360.566666667,30
01-22,2025-01-22,3485180,reported,2021-01-22,2088911,reported,2892111.533333333,30
01-23,2025-01-23,3481675,reported,2021-01-23,2089794,reported,2901145.566666667,30
01-24,2025-01-24,3480427,reported,2021-01-24,2092974,reported,2910348.6666666665,30
01-25,2025-01-25,3483173,reported,2021-01-25,2094564,reported,2919365.3666666667,30
01-26,2025-01-26,3487438,reported,2021-01-26,2099157,reported,2931309.8666666667,30
01-27,2025-01-27,3489948,reported,2021-01-27,2105018,reported,2940873.4,30
01-28,2025-01-28,3491704,reported,2021-01-28,2110526,reported,2947757.466666667,30
01-29,2025-01-29,3488191,reported,2021-01-29,2116745,reported,2954093.3333333335,30
01-30,2025-01-30,3481925,reported,2021-01-30,2122818,reported,2959257.1666666665,30
01-31,2025-01-31,3492457,reported,2021-01-31,2128716,reported,2963459.1666666665,30
02-01,2025-02-01,3509777,reported,2021-02-01,2136408,reported,2971468.6666666665,30
02-02,2025-02-02,3585563,reported,2021-02-02,2147734,reported,2981660.8333333335,30
02-03,2025-02-03,3717976,reported,2021-02-03,2161988,reported,2993029.3333333335,30
02-04,2025-02-04,3916518,reported,2021-02-04,2174120,reported,3000976,30
02-05,2025-02-05,4050396,reported,2021-02-05,2178122,reported,3013535.1666666665,30
02-06,2025-02-06,4108450,reported,2021-02-06,2181942,reported,3029941.433333333,30
02-07,2025-02-07,4112914,reported,2021-02-07,2185034,reported,3048251.466666667,30
02-08,2025-02-08,4058134,reported,2021-02-08,2187398,reported,3061802.9,30
02-09,2025-02-09,3990449,reported,2021-02-09,2190314,reported,3079059.466666667,30
02-10,2025-02-10,3913819,reported,2021-02-10,2193972,reported,3091252.9,30
02-11,2025-02-11,3835820,reported,2021-02-11,2198180,reported,3101465.566666667,30
02-12,2025-02-12,3750814,reported,2021-02-12,2203485,reported,3109306.7666666666,30
02-13,2025-02-13,3707514,reported,2021-02-13,2212476,reported,3116340.533333333,30
02-14,2025-02-14,3677026,reported,2021-02-14,2218733,reported,3126073.7,30
02-15,2025-02-15,3633281,reported,2021-02-15,2226463,reported,3132615.7666666666,30
02-16,2025-02-16,3591961,reported,2021-02-16,2231830,reported,3141139.7333333334,30
02-17,2025-02-17,3556284,reported,2021-02-17,2237937,reported,3155286.9,30
02-18,2025-02-18,3530704,reported,2021-02-18,2243305,reported,3166344.4,30
02-19,2025-02-19,3511290,reported,2021-02-19,2249812,reported,3178456.8,30
02-20,2025-02-20,3505253,reported,2021-02-20,2252604,reported,3191204.103448276,29
02-21,2025-02-21,3498980,reported,2021-02-21,2256327,reported,3210789.3103448274,29
02-22,2025-02-22,3497475,reported,2021-02-22,2258002,reported,3221017.7,30
02-23,2025-02-23,3503246,reported,2021-02-23,2261539,reported,3229840.4,30
02-24,2025-02-24,3510029,reported,2021-02-24,2266022,reported,3235215.8666666667,30
02-25,2025-02-25,3521627,reported,2021-02-25,2267520,reported,3242075,30
02-26,2025-02-26,3534745,reported,2021-02-26,2270328,reported,3252086.7333333334,30
02-27,2025-02-27,3546148,reported,2021-02-27,2273324,reported,3263156.3,30
02-28,2025-02-28,3561365,reported,2021-02-28,2277443,reported,3269364.433333333,30
02-29,,,no-calendar-date,,,no-calendar-date,3363259.5714285714,7
03-01,2025-03-01,3578171,reported,2021-03-01,2281749,reported,3331186.6896551726,29
03-02,2025-03-02,3594264,reported,2021-03-02,2283254,reported,3276140.7666666666,30
03-03,2025-03-03,3605013,reported,2021-03-03,2281749,reported,3281659.9,30
03-04,2025-03-04,3617849,reported,2021-03-04,2285890,reported,3288743.033333333,30
03-05,2025-03-05,3631481,reported,2021-03-05,2286078,reported,3298736.8666666667,30
03-06,2025-03-06,3640765,reported,2021-03-06,2289656,reported,3310343.4,30
03-07,2025-03-07,3649294,reported,2021-03-07,2287961,reported,3363256.6551724137,29
03-08,2025-03-08,3655497,reported,2021-03-08,2288150,reported,3327471.966666667,30
03-09,2025-03-09,3661442,reported,2021-03-09,2294740,reported,3334973.1,30
03-10,2025-03-10,3669494,reported,2021-03-10,2298506,reported,3347972.933333333,30
03-11,2025-03-11,3676506,reported,2021-03-11,2300012,reported,3362048.8333333335,30
03-12,2025-03-12,3692896,reported,2021-03-12,2303416,reported,3374678.2333333334,30
03-13,2025-03-13,3712212,reported,2021-03-13,2307582,reported,3387776.2666666666,30
03-14,2025-03-14,3727942,reported,2021-03-14,2312315,reported,3401360.8666666667,30
03-15,2025-03-15,3746333,reported,2021-03-15,2316670,reported,3420602.1,30
03-16,2025-03-16,3803443,reported,2021-03-16,2319700,reported,3438897.1666666665,30
03-17,2025-03-17,3868114,reported,2021-03-17,2321986,reported,3456079.7333333334,30
03-18,2025-03-18,3906264,reported,2021-03-18,2329604,reported,3466933.6333333333,30
03-19,2025-03-19,3922724,reported,2021-03-19,2341428,reported,3475100.033333333,30
03-20,2025-03-20,3926232,reported,2021-03-20,2349856,reported,3481545.6666666665,30
03-21,2025-03-21,3927588,reported,2021-03-21,2357900,reported,3489285.7666666666,30
03-22,2025-03-22,3930299,reported,2021-03-22,2364835,reported,3500541.033333333,30
