monthDay,selectedDate,selectedAF,selectedStatus,comparisonDate,comparisonAF,comparisonStatus,baselineMeanAF,baselineCount
05-22,2024-05-22,4364660,reported,2025-05-22,4247959,reported,3833023.0344827585,29
05-23,2024-05-23,4354531,reported,2025-05-23,4230546,reported,3848634.8666666667,30
05-24,2024-05-24,4338609,reported,2025-05-24,4216900,reported,3845175.966666667,30
05-25,2024-05-25,4329632,reported,2025-05-25,4205244,reported,3842013.066666667,30
05-26,2024-05-26,4327605,reported,2025-05-26,4195049,reported,3838600.6333333333,30
05-27,2024-05-27,4322392,reported,2025-05-27,4185995,reported,3834603.2666666666,30
05-28,2024-05-28,4319207,reported,2025-05-28,4176942,reported,3829960.3333333335,30
05-29,2024-05-29,4314012,reported,2025-05-29,4168766,reported,3804639.4482758623,29
05-30,2024-05-30,4305653,reported,2025-05-30,4160037,reported,3820037.1,30
05-31,2024-05-31,4297870,reported,2025-05-31,4151026,reported,3791283.206896552,29
06-01,2024-06-01,4290375,reported,2025-06-01,4142878,reported,3810663.3333333335,30
06-02,2024-06-02,4284917,reported,2025-06-02,4136431,reported,3805088.2666666666,30
06-03,2024-06-03,4276595,reported,2025-06-03,4129704,reported,3798956.2333333334,30
06-04,2024-06-04,4267986,reported,2025-06-04,4122136,reported,3792559.466666667,30
06-05,2024-06-05,4265116,reported,2025-06-05,4114309,reported,3785091.566666667,30
06-06,2024-06-06,4264829,reported,2025-06-06,4109566,reported,3777499.6666666665,30
06-07,2024-06-07,4261099,reported,2025-06-07,4103708,reported,3769529.7666666666,30
06-08,2024-06-08,4252243,reported,2025-06-08,4095896,reported,3761702.5,30
06-09,2024-06-09,4243105,reported,2025-06-09,4087264,reported,3753993.033333333,30
06-10,2024-06-10,4235110,reported,2025-06-10,4079212,reported,3746197.533333333,30
06-11,2024-06-11,4226566,reported,2025-06-11,4070605,reported,3738781.6333333333,30
06-12,2024-06-12,4222586,reported,2025-06-12,4061726,reported,3730824.7,30
06-13,2024-06-13,4211783,reported,2025-06-13,4047909,reported,3722626.1333333333,30
06-14,2024-06-14,4202122,reported,2025-06-14,4039066,reported,3713583.7,30
06-15,2024-06-15,4191937,reported,2025-06-15,4030247,reported,3704695.1,30
06-16,2024-06-16,4183732,reported,2025-06-16,4017870,reported,3695171.533333333,30
06-17,2024-06-17,4172990,reported,2025-06-17,4002220,reported,3685510.2333333334,30
06-18,2024-06-18,4163134,reported,2025-06-18,3984153,reported,3676055.466666667,30
06-19,2024-06-19,4152997,reported,2025-06-19,3969695,reported,3666169.5,30
06-20,2024-06-20,4143719,reported,2025-06-20,3953892,reported,3656238.566666667,30
06-21,2024-06-21,4129985,reported,2025-06-21,3937349,reported,3645159.6666666665,30
06-22,2024-06-22,4118773,reported,2025-06-22,3917867,reported,3633555.1,30
06-23,2024-06-23,4107334,reported,2025-06-23,3901946,reported,3621964.8,30
06-24,2024-06-24,4099802,reported,2025-06-24,3886893,reported,3610049.8,30
06-25,2024-06-25,4087542,reported,2025-06-25,3870252,reported,3598596.6666666665,30
06-26,2024-06-26,4070327,reported,2025-06-26,3849405,reported,3587361.5,30
06-27,2024-06-27,4054541,reported,2025-06-27,3832894,reported,3575716.7333333334,30
06-28,2024-06-28,4035473,reported,2025-06-28,3817472,reported,3563755.7,30
06-29,2024-06-29,4016770,reported,2025-06-29,3802384,reported,3551994.8666666667,30
06-30,2024-06-30,3999757,reported,2025-06-30,3788087,reported,3539816.3666666667,30
07-01,2024-07-01,3978959,reported,2025-07-01,3774577,reported,3526753.7333333334,30
07-02,2024-07-02,3960431,reported,2025-07-02,3756875,reported,3514040.466666667,30
07-03,2024-07-03,3943043,reported,2025-07-03,3738695,reported,3559844.827586207,29
07-04,2024-07-04,3925962,reported,2025-07-04,3721385,reported,3487775.933333333,30
07-05,2024-07-05,3912200,reported,2025-07-05,3703076,reported,3474133.7666666666,30
07-06,2024-07-06,3894951,reported,2025-07-06,3685597,reported,3518443.4827586208,29
07-07,2024-07-07,3877493,reported,2025-07-07,3667935,reported,3446771.8666666667,30
07-08,2024-07-08,3858759,reported,2025-07-08,3648261,reported,3432931.966666667,30
07-09,2024-07-09,3839544,reported,2025-07-09,3630452,reported,3419222.8,30
07-10,2024-07-10,3819326,reported,2025-07-10,3612190,reported,3405209.6666666665,30
07-11,2024-07-11,3800266,reported,2025-07-11,3594008,reported,3391086.8,30
07-12,2024-07-12,3783848,reported,2025-07-12,3578681,reported,3376628.3666666667,30
07-13,2024-07-13,3766100,reported,2025-07-13,3561365,reported,3362125.933333333,30
07-14,2024-07-14,3747914,reported,2025-07-14,3546908,reported,3347808.2333333334,30
07-15,2024-07-15,3729515,reported,2025-07-15,3529444,reported,3333345.7666666666,30
07-16,2024-07-16,3712734,reported,2025-07-16,3512550,reported,3318511.7333333334,30
07-17,2024-07-17,3695768,reported,2025-07-17,3493962,reported,3304111.433333333,30
07-18,2024-07-18,3679104,reported,2025-07-18,3476683,reported,3346071.6896551726,29
07-19,2024-07-19,3664559,reported,2025-07-19,3458210,reported,3275761.2666666666,30
07-20,2024-07-20,3648777,reported,2025-07-20,3440574,reported,3317485.0344827585,29
07-21,2024-07-21,3629680,reported,2025-07-21,3422743,reported,3246682.966666667,30
07-22,2024-07-22,3612704,reported,2025-07-22,3403490,reported,3232084.1333333333,30
07-23,2024-07-23,3594008,reported,2025-07-23,3386521,reported,3217116.933333333,30
07-24,2024-07-24,3575625,reported,2025-07-24,3366446,reported,3202442.066666667,30
07-25,2024-07-25,3562383,reported,2025-07-25,3348153,reported,3187515.433333333,30
07-26,2024-07-26,3545641,reported,2025-07-26,3329922,reported,3172817.4,30
07-27,2024-07-27,3527427,reported,2025-07-27,3311511,reported,3157928.066666667,30
07-28,2024-07-28,3507260,reported,2025-07-28,3296809,reported,3118453.4482758623,29
07-29,2024-07-29,3487438,reported,2025-07-29,3276580,reported,3129356.7666666666,30
07-30,2024-07-30,3468944,reported,2025-07-30,3258792,reported,3115518.033333333,30
07-31,2024-07-31,3450758,reported,2025-07-31,3237967,reported,3101521.3,30
08-01,2024-08-01,3435607,reported,2025-08-01,3220576,reported,3087330.933333333,30
08-02,2024-08-02,3418789,reported,2025-08-02,3204197,reported,3073540.6333333333,30
08-03,2024-08-03,3400047,reported,2025-08-03,3185506,reported,3059438.966666667,30
08-04,2024-08-04,3384554,reported,2025-08-04,3165475,reported,3045706.2333333334,30
08-05,2024-08-05,3369871,reported,2025-08-05,3144834,reported,3031880.066666667,30
08-06,2024-08-06,3352292,reported,2025-08-06,3127097,reported,3017708.7,30
08-07,2024-08-07,3336468,reported,2025-08-07,3110352,reported,3004079.8,30
08-08,2024-08-08,3323866,reported,2025-08-08,3093891,reported,2990816.466666667,30
08-09,2024-08-09,3309099,reported,2025-08-09,3077263,reported,2978138.4,30
08-10,2024-08-10,3292954,reported,2025-08-10,3062547,reported,2965966.966666667,30
08-11,2024-08-11,3277302,reported,2025-08-11,3050150,reported,2953589.7,30
08-12,2024-08-12,3261186,reported,2025-08-12,3036209,reported,2941167.1333333333,30
08-13,2024-08-13,3244187,reported,2025-08-13,3027531,reported,2928798.8666666667,30
08-14,2024-08-14,3228914,reported,2025-08-14,3014573,reported,2915578.2,30
08-15,2024-08-15,3212964,reported,2025-08-15,3003222,reported,2904685.033333333,30
08-16,2024-08-16,3199458,reported,2025-08-16,2993498,reported,2893579.8666666667,30
08-17,2024-08-17,3186213,reported,2025-08-17,2983323,reported,2882350.2,30
08-18,2024-08-18,3172536,reported,2025-08-18,2974323,reported,2870941.9,30
08-19,2024-08-19,3159142,reported,2025-08-19,2964199,reported,2859573.933333333,30
08-20,2024-08-20,3144365,reported,2025-08-20,2956126,reported,2848462.566666667,30
08-21,2024-08-21,3130131,reported,2025-08-21,2946056,reported,2867150.9655172415,29
08-22,2024-08-22,3115923,reported,2025-08-22,2935555,reported,2827741.2666666666,30
08-23,2024-08-23,3101995,reported,2025-08-23,2924647,reported,2817725.6333333333,30
08-24,2024-08-24,3089503,reported,2025-08-24,2914860,reported,2807557.7333333334,30
08-25,2024-08-25,3075185,reported,2025-08-25,2905561,reported,2797876.7666666666,30
