seriesId,itemId,month,priceUSD,quantityUnit,sourceStatus,snapshotId
APU0000702111,bread,2024-08,1.951,lb,observed,e01-bls-2026-09-05-66f1d260
APU0000702111,bread,2024-09,1.976,lb,observed,e01-bls-2026-09-05-66f1d260
APU0000702111,bread,2024-10,1.937,lb,observed,e01-bls-2026-09-05-66f1d260
APU0000702111,bread,2024-11,1.916,lb,observed,e01-bls-2026-09-05-66f1d260
APU0000702111,bread,2024-12,1.912,lb,observed,e01-bls-2026-09-05-66f1d260
APU0000702111,bread,2025-01,1.925,lb,observed,e01-bls-2026-09-05-66f1d260
APU0000702111,bread,2025-02,1.925,lb,observed,e01-bls-2026-09-05-66f1d260
APU0000702111,bread,2025-03,1.880,lb,observed,e01-bls-2026-09-05-66f1d260
APU0000702111,bread,2025-04,1.913,lb,observed,e01-bls-2026-09-05-66f1d260
APU0000702111,bread,2025-05,1.876,lb,observed,e01-bls-2026-09-05-66f1d260
APU0000702111,bread,2025-06,1.864,lb,observed,e01-bls-2026-09-05-66f1d260
APU0000702111,bread,2025-07,1.851,lb,observed,e01-bls-2026-09-05-66f1d260
APU0000702111,bread,2025-08,1.841,lb,observed,e01-bls-2026-09-05-66f1d260
APU0000702111,bread,2025-09,1.867,lb,observed,e01-bls-2026-09-05-66f1d260
APU0000702111,bread,2025-10,,lb,unavailable,e01-bls-2026-09-05-66f1d260
APU0000702111,bread,2025-11,1.790,lb,observed,e01-bls-2026-09-05-66f1d260
APU0000702111,bread,2025-12,1.833,lb,observed,e01-bls-2026-09-05-66f1d260
APU0000708111,eggs,2018-01,1.769,dozen,observed,e01-bls-2026-09-05-66f1d260
APU0000708111,eggs,2018-02,1.755,dozen,observed,e01-bls-2026-09-05-66f1d260
APU0000708111,eggs,2018-03,1.831,dozen,observed,e01-bls-2026-09-05-66f1d260
APU0000708111,eggs,2018-04,2.081,dozen,observed,e01-bls-2026-09-05-66f1d260
APU0000708111,eggs,2018-05,1.987,dozen,observed,e01-bls-2026-09-05-66f1d260
APU0000708111,eggs,2018-06,1.628,dozen,observed,e01-bls-2026-09-05-66f1d260
APU0000708111,eggs,2018-07,1.725,dozen,observed,e01-bls-2026-09-05-66f1d260
APU0000708111,eggs,2018-08,1.622,dozen,observed,e01-bls-2026-09-05-66f1d260
APU0000708111,eggs,2018-09,1.651,dozen,observed,e01-bls-2026-09-05-66f1d260
APU0000708111,eggs,2018-10,1.660,dozen,observed,e01-bls-2026-09-05-66f1d260
APU0000708111,eggs,2018-11,1.596,dozen,observed,e01-bls-2026-09-05-66f1d260
APU0000708111,eggs,2018-12,1.595,dozen,observed,e01-bls-2026-09-05-66f1d260
APU0000708111,eggs,2019-01,1.554,dozen,observed,e01-bls-2026-09-05-66f1d260
APU0000708111,eggs,2019-02,1.557,dozen,observed,e01-bls-2026-09-05-66f1d260
APU0000708111,eggs,2019-03,1.544,dozen,observed,e01-bls-2026-09-05-66f1d260
APU0000708111,eggs,2019-04,1.463,dozen,observed,e01-bls-2026-09-05-66f1d260
APU0000708111,eggs,2019-05,1.362,dozen,observed,e01-bls-2026-09-05-66f1d260
APU0000708111,eggs,2019-06,1.203,dozen,observed,e01-bls-2026-09-05-66f1d260
APU0000708111,eggs,2019-07,1.243,dozen,observed,e01-bls-2026-09-05-66f1d260
APU0000708111,eggs,2019-08,1.219,dozen,observed,e01-bls-2026-09-05-66f1d260
APU0000708111,eggs,2019-09,1.383,dozen,observed,e01-bls-2026-09-05-66f1d260
APU0000708111,eggs,2019-10,1.282,dozen,observed,e01-bls-2026-09-05-66f1d260
APU0000708111,eggs,2019-11,1.405,dozen,observed,e01-bls-2026-09-05-66f1d260
APU0000708111,eggs,2019-12,1.535,dozen,observed,e01-bls-2026-09-05-66f1d260
APU0000708111,eggs,2020-01,1.461,dozen,observed,e01-bls-2026-09-05-66f1d260
APU0000708111,eggs,2020-02,1.449,dozen,observed,e01-bls-2026-09-05-66f1d260
APU0000708111,eggs,2020-03,1.525,dozen,observed,e01-bls-2026-09-05-66f1d260
APU0000708111,eggs,2020-04,2.019,dozen,observed,e01-bls-2026-09-05-66f1d260
APU0000708111,eggs,2020-05,1.640,dozen,observed,e01-bls-2026-09-05-66f1d260
APU0000708111,eggs,2020-06,1.554,dozen,observed,e01-bls-2026-09-05-66f1d260
APU0000708111,eggs,2020-07,1.401,dozen,observed,e01-bls-2026-09-05-66f1d260
APU0000708111,eggs,2020-08,1.328,dozen,observed,e01-bls-2026-09-05-66f1d260
APU0000708111,eggs,2020-09,1.353,dozen,observed,e01-bls-2026-09-05-66f1d260
APU0000708111,eggs,2020-10,1.408,dozen,observed,e01-bls-2026-09-05-66f1d260
APU0000708111,eggs,2020-11,1.450,dozen,observed,e01-bls-2026-09-05-66f1d260
APU0000708111,eggs,2020-12,1.481,dozen,observed,e01-bls-2026-09-05-66f1d260
APU0000708111,eggs,2021-01,1.466,dozen,observed,e01-bls-2026-09-05-66f1d260
APU0000708111,eggs,2021-02,1.597,dozen,observed,e01-bls-2026-09-05-66f1d260
APU0000708111,eggs,2021-03,1.625,dozen,observed,e01-bls-2026-09-05-66f1d260
APU0000708111,eggs,2021-04,1.620,dozen,observed,e01-bls-2026-09-05-66f1d260
APU0000708111,eggs,2021-05,1.625,dozen,observed,e01-bls-2026-09-05-66f1d260
APU0000708111,eggs,2021-06,1.642,dozen,observed,e01-bls-2026-09-05-66f1d260
APU0000708111,eggs,2021-07,1.642,dozen,observed,e01-bls-2026-09-05-66f1d260
APU0000708111,eggs,2021-08,1.709,dozen,observed,e01-bls-2026-09-05-66f1d260
APU0000708111,eggs,2021-09,1.835,dozen,observed,e01-bls-2026-09-05-66f1d260
APU0000708111,eggs,2021-10,1.821,dozen,observed,e01-bls-2026-09-05-66f1d260
APU0000708111,eggs,2021-11,1.718,dozen,observed,e01-bls-2026-09-05-66f1d260
APU0000708111,eggs,2021-12,1.788,dozen,observed,e01-bls-2026-09-05-66f1d260
APU0000708111,eggs,2022-01,1.929,dozen,observed,e01-bls-2026-09-05-66f1d260
APU0000708111,eggs,2022-02,2.005,dozen,observed,e01-bls-2026-09-05-66f1d260
APU0000708111,eggs,2022-03,2.046,dozen,observed,e01-bls-2026-09-05-66f1d260
APU0000708111,eggs,2022-04,2.520,dozen,observed,e01-bls-2026-09-05-66f1d260
APU0000708111,eggs,2022-05,2.863,dozen,observed,e01-bls-2026-09-05-66f1d260
APU0000708111,eggs,2022-06,2.707,dozen,observed,e01-bls-2026-09-05-66f1d260
APU0000708111,eggs,2022-07,2.936,dozen,observed,e01-bls-2026-09-05-66f1d260
APU0000708111,eggs,2022-08,3.116,dozen,observed,e01-bls-2026-09-05-66f1d260
APU0000708111,eggs,2022-09,2.902,dozen,observed,e01-bls-2026-09-05-66f1d260
APU0000708111,eggs,2022-10,3.419,dozen,observed,e01-bls-2026-09-05-66f1d260
APU0000708111,eggs,2022-11,3.589,dozen,observed,e01-bls-2026-09-05-66f1d260
APU0000708111,eggs,2022-12,4.250,dozen,observed,e01-bls-2026-09-05-66f1d260
APU0000708111,eggs,2023-01,4.823,dozen,observed,e01-bls-2026-09-05-66f1d260
APU0000708111,eggs,2023-02,4.211,dozen,observed,e01-bls-2026-09-05-66f1d260
APU0000708111,eggs,2023-03,3.446,dozen,observed,e01-bls-2026-09-05-66f1d260
APU0000708111,eggs,2023-04,3.270,dozen,observed,e01-bls-2026-09-05-66f1d260
APU0000708111,eggs,2023-05,2.666,dozen,observed,e01-bls-2026-09-05-66f1d260
APU0000708111,eggs,2023-06,2.219,dozen,observed,e01-bls-2026-09-05-66f1d260
APU0000708111,eggs,2023-07,2.094,dozen,observed,e01-bls-2026-09-05-66f1d260
APU0000708111,eggs,2023-08,2.043,dozen,observed,e01-bls-2026-09-05-66f1d260
APU0000708111,eggs,2023-09,2.065,dozen,observed,e01-bls-2026-09-05-66f1d260
APU0000708111,eggs,2023-10,2.072,dozen,observed,e01-bls-2026-09-05-66f1d260
APU0000708111,eggs,2023-11,2.138,dozen,observed,e01-bls-2026-09-05-66f1d260
APU0000708111,eggs,2023-12,2.507,dozen,observed,e01-bls-2026-09-05-66f1d260
APU0000708111,eggs,2024-01,2.522,dozen,observed,e01-bls-2026-09-05-66f1d260
APU0000708111,eggs,2024-02,2.996,dozen,observed,e01-bls-2026-09-05-66f1d260
APU0000708111,eggs,2024-03,2.992,dozen,observed,e01-bls-2026-09-05-66f1d260
APU0000708111,eggs,2024-04,2.864,dozen,observed,e01-bls-2026-09-05-66f1d260
APU0000708111,eggs,2024-05,2.699,dozen,observed,e01-bls-2026-09-05-66f1d260
APU0000708111,eggs,2024-06,2.715,dozen,observed,e01-bls-2026-09-05-66f1d260
APU0000708111,eggs,2024-07,3.080,dozen,observed,e01-bls-2026-09-05-66f1d260
APU0000708111,eggs,2024-08,3.204,dozen,observed,e01-bls-2026-09-05-66f1d260
APU0000708111,eggs,2024-09,3.821,dozen,observed,e01-bls-2026-09-05-66f1d260
APU0000708111,eggs,2024-10,3.370,dozen,observed,e01-bls-2026-09-05-66f1d260
APU0000708111,eggs,2024-11,3.649,dozen,observed,e01-bls-2026-09-05-66f1d260
APU0000708111,eggs,2024-12,4.146,dozen,observed,e01-bls-2026-09-05-66f1d260
APU0000708111,eggs,2025-01,4.953,dozen,observed,e01-bls-2026-09-05-66f1d260
APU0000708111,eggs,2025-02,5.897,dozen,observed,e01-bls-2026-09-05-66f1d260
APU0000708111,eggs,2025-03,6.227,dozen,observed,e01-bls-2026-09-05-66f1d260
APU0000708111,eggs,2025-04,5.122,dozen,observed,e01-bls-2026-09-05-66f1d260
APU0000708111,eggs,2025-05,4.548,dozen,observed,e01-bls-2026-09-05-66f1d260
APU0000708111,eggs,2025-06,3.775,dozen,observed,e01-bls-2026-09-05-66f1d260
APU0000708111,eggs,2025-07,3.599,dozen,observed,e01-bls-2026-09-05-66f1d260
APU0000708111,eggs,2025-08,3.587,dozen,observed,e01-bls-2026-09-05-66f1d260
APU0000708111,eggs,2025-09,3.488,dozen,observed,e01-bls-2026-09-05-66f1d260
APU0000708111,eggs,2025-10,,dozen,unavailable,e01-bls-2026-09-05-66f1d260
APU0000708111,eggs,2025-11,2.860,dozen,observed,e01-bls-2026-09-05-66f1d260
APU0000708111,eggs,2025-12,2.712,dozen,observed,e01-bls-2026-09-05-66f1d260
APU0000709112,milk,2018-01,2.961,gallon,observed,e01-bls-2026-09-05-66f1d260
APU0000709112,milk,2018-02,2.923,gallon,observed,e01-bls-2026-09-05-66f1d260
APU0000709112,milk,2018-03,2.903,gallon,observed,e01-bls-2026-09-05-66f1d260
APU0000709112,milk,2018-04,2.924,gallon,observed,e01-bls-2026-09-05-66f1d260
APU0000709112,milk,2018-05,2.919,gallon,observed,e01-bls-2026-09-05-66f1d260
APU0000709112,milk,2018-06,2.877,gallon,observed,e01-bls-2026-09-05-66f1d260
APU0000709112,milk,2018-07,2.839,gallon,observed,e01-bls-2026-09-05-66f1d260
APU0000709112,milk,2018-08,2.871,gallon,observed,e01-bls-2026-09-05-66f1d260
APU0000709112,milk,2018-09,2.890,gallon,observed,e01-bls-2026-09-05-66f1d260
APU0000709112,milk,2018-10,2.913,gallon,observed,e01-bls-2026-09-05-66f1d260
APU0000709112,milk,2018-11,2.877,gallon,observed,e01-bls-2026-09-05-66f1d260
APU0000709112,milk,2018-12,2.853,gallon,observed,e01-bls-2026-09-05-66f1d260
APU0000709112,milk,2019-01,2.913,gallon,observed,e01-bls-2026-09-05-66f1d260
APU0000709112,milk,2019-02,2.900,gallon,observed,e01-bls-2026-09-05-66f1d260
APU0000709112,milk,2019-03,2.944,gallon,observed,e01-bls-2026-09-05-66f1d260
APU0000709112,milk,2019-04,2.980,gallon,observed,e01-bls-2026-09-05-66f1d260
APU0000709112,milk,2019-05,2.963,gallon,observed,e01-bls-2026-09-05-66f1d260
APU0000709112,milk,2019-06,3.054,gallon,observed,e01-bls-2026-09-05-66f1d260
APU0000709112,milk,2019-07,3.031,gallon,observed,e01-bls-2026-09-05-66f1d260
APU0000709112,milk,2019-08,3.045,gallon,observed,e01-bls-2026-09-05-66f1d260
